28528,# doc = reaction_black_mirror.2.txt,,,,,,,,,,,,,,,,
28529,# speaker = A,,,,,,,,,,,,,,,,
28530,# sent = 2090,,,,,,,,,,,,,,,,
28564,# sent = 2096,,,,,,,,,,,,,,,,
28565,,Заставка,ЗАСТАВКА,S f inan nom sg,,,...   _Заставка_ выглядит довольно стильно,а,к,в,а,т,с,S,ЗАСТАВКА,S m anim nom sg,А
28566,,выглядит,ВЫГЛЯДЕТЬ,V ipf praes sg indic - 3p,,,"  Заставка _выглядит_ довольно стильно ,",т,и,д,я,л,г,V,ВЫГЛЯДЕТЬ,V ipf praes sg indic - 3p,Ь
28567,,довольно,ДОВОЛЬНО,ADV -,,," Заставка выглядит _довольно_ стильно , в",о,н,ь,л,о,в,ADV,ДОВОЛЬНО,ADV -,О
28568,,стильно,СТИЛЬНО,ADV -,,,"Заставка выглядит довольно _стильно_ , в любом",о,н,ь,л,и,т,ADV,СТИЛЬНО,ADV -,О
28569,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28570,,в,В,PR,,,"довольно стильно , _в_ любом случае .",в,,,,,,PR,В,PR,В
28571,,любом,ЛЮБОЙ,A - loc sg plen m -,,,"стильно , в _любом_ случае . ",м,о,б,ю,л,,A,ЛЮБОЙ,A - loc sg plen m -,Й
28572,,случае,СЛУЧАЙ,S m inan loc sg,,,", в любом _случае_ .  ",е,а,ч,у,л,с,S,СЛУЧАЙ,S m inan loc sg,Й
28573,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
28574,,,,,,,,,,,,,,,,,
28575,# sent = 2097,,,,,,,,,,,,,,,,
28576,,Ещё,ЕЩЕ,ADV -,,,.   _Ещё_ мне не нравится,ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
28577,,мне,Я,SPRO sg 1p - dat,,,  Ещё _мне_ не нравится немного,е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
28578,,не,НЕ,PART,,, Ещё мне _не_ нравится немного озвучка,е,н,,,,,PART,НЕ,PART,Е
28579,,нравится,НРАВИТЬСЯ,V ipf praes sg indic - 3p,,,Ещё мне не _нравится_ немного озвучка ...,я,с,т,и,в,а,V,НРАВИТЬСЯ,V ipf praes sg indic - 3p,Я
28580,,немного,НЕМНОГО,ADV -,,,мне не нравится _немного_ озвучка ... ,о,г,о,н,м,е,ADV,НЕМНОГО,ADV -,О
28581,,озвучка,ОЗВУЧКА,S f inan nom sg,,,не нравится немного _озвучка_ ...  ,а,к,ч,у,в,з,S,ОЗВУЧКА,S f inan nom sg,А
28582,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
28583,,,,,,,,,,,,,,,,,
28584,# sent = 2098,,,,,,,,,,,,,,,,
28585,,Что,ЧТО,SPRO n inan nom sg,,,"...   _Что_ за название """,о,т,ч,,,,SPRO,ЧТО,S n - nom sg,О
28586,,за,ЗА,PR,,,"  Что _за_ название "" Кубик",а,з,,,,,PR,ЗА,PR,А
28587,,название,НАЗВАНИЕ,S n inan acc sg,,," Что за _название_ "" Кубик в",е,и,н,а,в,з,S,НАЗВАНИЕ,S n inan acc sg,Е
28588,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
28589,,Кубик,КУБИК,S m inan nom sg,,,"за название "" _Кубик_ в кубе """,к,и,б,у,к,,S,КУБИК,S m inan gen sg,К
28590,,в,В,PR,,,"название "" Кубик _в_ кубе "" ?",в,,,,,,PR,В,PR,В
28591,,кубе,КУБ,S m inan nom sg,,,""" Кубик в _кубе_ "" ? ",е,б,у,к,,,S,КУБА,S f inan loc sg,Б
28592,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
28593,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
28594,,,,,,,,,,,,,,,,,
28595,# sent = 2099,,,,,,,,,,,,,,,,
28596,,Неужели,НЕУЖЕЛИ,PART,,,?   _Неужели_  нормальное название,и,л,е,ж,у,е,PART,НЕУЖЕЛИ,PART,И
28597,<noindex>[нрзб]</noindex>,,,,,,,,,,,,,,,,
28598,,нормальное,НОРМАЛЬНЫЙ,A - acc sg plen n inan,,, Неужели  _нормальное_ название студии озвучки,е,о,н,ь,л,а,A,НОРМАЛЬНЫЙ,A - acc sg plen n inan,Й
28599,,название,НАЗВАНИЕ,S n inan acc sg,,,Неужели  нормальное _название_ студии озвучки ?,е,и,н,а,в,з,S,НАЗВАНИЕ,S n inan acc sg,Е
28600,,студии,СТУДИЯ,S f inan gen sg,,, нормальное название _студии_ озвучки ? ,и,и,д,у,т,с,S,СТУДИЯ,S f inan gen sg,Я
28601,,озвучки,ОЗВУЧКА,S f inan gen sg,,,нормальное название студии _озвучки_ ?  ,и,к,ч,у,в,з,S,ОЗВУЧКА,S f inan acc pl,А
28602,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
28603,,,,,,,,,,,,,,,,,
28604,# sent = 2100,,,,,,,,,,,,,,,,
28605,# speaker = Софья,,,,,,,,,,,,,,,,
28606,# sent = 2101,,,,,,,,,,,,,,,,
28607,,А,А,INTJ,слитно,,"   _А_ - а ,",а,,,,,,INTJ,А,S - - nonflex -,А
28608,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
28609,,а,А,INTJ,слитно,," А - _а_ , вроде это",а,,,,,,CONJ,А,CONJ,А
28610,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28611,,вроде,ВРОДЕ,PART,,,"- а , _вроде_ это довольно известная",е,д,о,р,в,,PART,ВРОДЕ,PART,Е
28612,,это,ЭТО,SPRO n - nom sg,,,"а , вроде _это_ довольно известная студия",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
28613,,довольно,ДОВОЛЬНО,ADV -,,,", вроде это _довольно_ известная студия озвучки",о,н,ь,л,о,в,ADV,ДОВОЛЬНО,ADV -,О
28614,,известная,ИЗВЕСТНЫЙ,A - nom sg plen f -,,,вроде это довольно _известная_ студия озвучки .,я,а,н,т,с,е,A,ИЗВЕСТНЫЙ,A - nom sg plen f -,Й
28615,,студия,СТУДИЯ,S f inan nom sg,,,это довольно известная _студия_ озвучки . ,я,и,д,у,т,с,S,СТУДИЯ,S f inan nom sg,Я
28616,,озвучки,ОЗВУЧКА,S f inan gen sg,,,довольно известная студия _озвучки_ .  ,и,к,ч,у,в,з,S,ОЗВУЧКА,S f inan acc pl,А
28617,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
28618,,,,,,,,,,,,,,,,,
28619,# sent = 2102,,,,,,,,,,,,,,,,
28620,# speaker = А,,,,,,,,,,,,,,,,
28621,# sent = 2103,,,,,,,,,,,,,,,,
28622,,Впервые,ВПЕРВЫЕ,ADV -,,,   _Впервые_ с ней сталкиваюсь,е,ы,в,р,е,п,ADV,ВПЕРВЫЕ,ADV -,Е
28623,,с,С,PR,,,  Впервые _с_ ней сталкиваюсь .,с,,,,,,PR,С,PR,С
28624,,ней,ОНА,SPRO sg 3p f loc,,, Впервые с _ней_ сталкиваюсь . ,й,е,н,,,,SPRO,ОНА,SPRO sg 3p f loc,А
28625,,сталкиваюсь,СТАЛКИВАТЬСЯ,V ipf praes sg indic - 1p,,,Впервые с ней _сталкиваюсь_ .  ,ь,с,ю,а,в,и,V,СТАЛКИВАТЬСЯ,V ipf praes sg indic - 1p,Я
28626,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
28627,,,,,,,,,,,,,,,,,
28628,# sent = 2104,,,,,,,,,,,,,,,,
28629,,В,В,PR,,,.   _В_ любом случае они,в,,,,,,PR,В,PR,В
28630,,любом,ЛЮБОЙ,A - loc sg plen m -,,,  В _любом_ случае они не,м,о,б,ю,л,,A,ЛЮБОЙ,A - loc sg plen m -,Й
28631,,случае,СЛУЧАЙ,S m inan loc sg,,, В любом _случае_ они не убирают,е,а,ч,у,л,с,S,СЛУЧАЙ,S m inan loc sg,Й
28632,,они,ОНИ,SPRO pl - - nom,,,В любом случае _они_ не убирают заднюю,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
28633,,не,НЕ,PART,,,"любом случае они _не_ убирают заднюю ,",е,н,,,,,PART,НЕ,PART,Е
28634,,убирают,УБИРАТЬ,V ipf praes pl indic - 3p,,,"случае они не _убирают_ заднюю , эм",т,ю,а,р,и,б,V,УБИРАТЬ,V ipf praes pl indic - 3p,Ь
28635,,заднюю,ЗАДНИЙ,A - acc sg plen f -,,,"они не убирают _заднюю_ , эм ,",ю,ю,н,д,а,з,A,ЗАДНИЙ,A - acc sg plen f -,Й
28636,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28637,,эм,ЭМ,INTJ,,,"убирают заднюю , _эм_ , хотела сказать",м,э,,,,,INTJ,ЭМ,S n inan nonflex -,М
28638,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28639,,хотела,ХОТЕТЬ,V ipf praet sg indic f -,,,", эм , _хотела_ сказать задний подкаст",а,л,е,т,о,х,V,ХОТЕТЬ,V ipf praet sg indic f -,Ь
28640,,сказать,СКАЗАТЬ,V pf - - inf - -,,,"эм , хотела _сказать_ задний подкаст ,",ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
28641,,задний,ЗАДНИЙ,A - acc sg plen m inan,,,", хотела сказать _задний_ подкаст , они",й,и,н,д,а,з,A,ЗАДНИЙ,A - acc sg plen m inan,Й
28642,,подкаст,ПОДКАСТ,S m inan acc sg,,,"хотела сказать задний _подкаст_ , они не",т,с,а,к,д,о,S,ПОДКАСТ,S m inan acc sg,Т
28643,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28644,,они,ОНИ,SPRO pl - - nom,,,"задний подкаст , _они_ не убирают оригинальную",и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
28645,,не,НЕ,PART,,,"подкаст , они _не_ убирают оригинальную озвучку",е,н,,,,,PART,НЕ,PART,Е
28646,,убирают,УБИРАТЬ,V ipf praes pl indic - 3p,,,", они не _убирают_ оригинальную озвучку и",т,ю,а,р,и,б,V,УБИРАТЬ,V ipf praes pl indic - 3p,Ь
28647,,оригинальную,ОРИГИНАЛЬНЫЙ,A - acc sg plen f -,,,они не убирают _оригинальную_ озвучку и прям,ю,у,н,ь,л,а,A,ОРИГИНАЛЬНЫЙ,A - acc sg plen f -,Й
28648,,озвучку,ОЗВУЧКА,S f inan acc sg,,,не убирают оригинальную _озвучку_ и прям на,у,к,ч,у,в,з,S,ОЗВУЧКА,S f inan acc sg,А
28649,,и,И,CONJ,,,убирают оригинальную озвучку _и_ прям на неё,и,,,,,,CONJ,И,CONJ,И
28650,,прям,ПРЯМОЙ,PART,,,оригинальную озвучку и _прям_ на неё наслаивают,м,я,р,п,,,A,ПРЯМОЙ,A - - sg brev m -,Й
28651,,на,НА,PR,,,озвучку и прям _на_ неё наслаивают свою,а,н,,,,,PR,НА,PR,А
28652,,неё,ОНА,SPRO sg 3p f acc,,,и прям на _неё_ наслаивают свою там,ё,е,н,,,,SPRO,ОНА,SPRO sg 3p f acc,А
28653,,наслаивают,НАСЛАИВАТЬ,V ipf praes pl indic - 3p,,,прям на неё _наслаивают_ свою там двух,т,ю,а,в,и,а,V,НАСЛАИВАТЬ,V ipf praes pl indic - 3p,Ь
28654,,свою,СВОЙ,APRO - acc sg plen f -,,,на неё наслаивают _свою_ там двух или,ю,о,в,с,,,APRO,СВОЙ,A - acc sg plen f -,Й
28655,,там,ТАМ,ADV -,,,неё наслаивают свою _там_ двух или трёхголосую,м,а,т,,,,ADV,ТАМ,ADV -,М
28656,,двух,ДВА,NUM loc - -,,,наслаивают свою там _двух_ или трёхголосую ,х,у,в,д,,,NUM,ДВА,NUM loc - -,А
28657,,или,ИЛИ,CONJ,,,свою там двух _или_ трёхголосую  ,и,л,и,,,,CONJ,ИЛИ,CONJ,И
28658,,трёхголосую,ТРЕХГОЛОСЫЙ,A - acc sg plen f -,,,там двух или _трёхголосую_   ,ю,у,с,о,л,о,A,ТРЕХГОЛОСЫЙ,A - acc sg plen f -,Й
28659,,,,,,,,,,,,,,,,,
28660,# sent = 2105,,,,,,,,,,,,,,,,
28661,# speaker = Софья,,,,,,,,,,,,,,,,
28662,# sent = 2106,,,,,,,,,,,,,,,,
28663,,В,В,PR,,,"   _В_ принципе , да",в,,,,,,PR,В,PR,В
28664,,принципе,ПРИНЦИП,S m inan loc sg,,,"  В _принципе_ , да ,",е,п,и,ц,н,и,S,ПРИНЦИП,S m inan loc sg,П
28665,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28666,,да,ДА,CONJ,,,"В принципе , _да_ , ум ,",а,д,,,,,CONJ,ДА,CONJ,А
28667,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28668,,ум,УМ,INTJ,,,", да , _ум_ , довольно часто",м,у,,,,,S,УМ,S m inan acc sg,М
28669,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28670,,довольно,ДОВОЛЬНО,ADV -,,,", ум , _довольно_ часто встречающаяся вещь",о,н,ь,л,о,в,ADV,ДОВОЛЬНО,ADV -,О
28671,,часто,ЧАСТО,ADV -,,,"ум , довольно _часто_ встречающаяся вещь ,",о,т,с,а,ч,,ADV,ЧАСТО,ADV -,О
28672,,встречающаяся,ВСТРЕЧАТЬСЯ,PARTCP ipf inpraes nom sg plen f act -,,,", довольно часто _встречающаяся_ вещь , а",я,с,я,а,щ,ю,PARTCP,ВСТРЕЧАТЬСЯ,PARTCP ipf inpraes nom sg plen f act -,Я
28673,,вещь,ВЕЩЬ,S f inan nom sg,,,"довольно часто встречающаяся _вещь_ , а -",ь,щ,е,в,,,S,ВЕЩЬ,S f inan nom sg,Ь
28674,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28675,,а,А,INTJ,слитно,,"встречающаяся вещь , _а_ - а -",а,,,,,,CONJ,А,CONJ,А
28676,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
28677,,а,А,INTJ,слитно,,", а - _а_ - а ,",а,,,,,,CONJ,А,CONJ,А
28678,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
28679,,а,А,INTJ,слитно,,"- а - _а_ , типа чтобы",а,,,,,,CONJ,А,CONJ,А
28680,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28681,,типа,ТИПА,PART,,,"- а , _типа_ чтобы э -",а,п,и,т,,,PART,ТИПА,PART,А
28682,,чтобы,ЧТОБЫ,CONJ,,,"а , типа _чтобы_ э - э",ы,б,о,т,ч,,CONJ,ЧТОБЫ,CONJ,Ы
28683,,э,Э,INTJ,,,", типа чтобы _э_ - э ,",э,,,,,,INTJ,Э,S - - nonflex -,Э
28684,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
28685,,э,Э,INTJ,,,"чтобы э - _э_ , слушающий слышал",э,,,,,,INTJ,Э,INTJ,Э
28686,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28687,,слушающий,СЛУШАЮЩИЙ,S m anim nom sg,,,"- э , _слушающий_ слышал и оригинальные",й,и,щ,ю,а,ш,S,СЛУШАЮЩИЙ,S m anim nom sg,Й
28688,,слышал,СЛЫШАТЬ,V ipf praet sg indic m -,,,"э , слушающий _слышал_ и оригинальные голоса",л,а,ш,ы,л,с,V,СЛЫШАТЬ,V ipf praet sg indic m -,Ь
28689,,и,И,CONJ,,,", слушающий слышал _и_ оригинальные голоса .",и,,,,,,CONJ,И,CONJ,И
28690,,оригинальные,ОРИГИНАЛЬНЫЙ,A - nom pl plen - -,,,слушающий слышал и _оригинальные_ голоса . ,е,ы,н,ь,л,а,A,ОРИГИНАЛЬНЫЙ,A - nom pl plen - -,Й
28691,,голоса,ГОЛОС,S m inan acc pl,,,слышал и оригинальные _голоса_ .  ,а,с,о,л,о,г,S,ГОЛОС,S m inan nom pl,С
28692,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
28693,,,,,,,,,,,,,,,,,
28694,# sent = 2107,,,,,,,,,,,,,,,,
28695,# speaker = А,,,,,,,,,,,,,,,,
28696,# sent = 2108,,,,,,,,,,,,,,,,
28697,,Ну,НУ,PART,,,"   _Ну_ , конечно ,",у,н,,,,,PART,НУ,PART,У
28698,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28699,,конечно,КОНЕЧНО,ADV -,,," Ну , _конечно_ , я понимаю",о,н,ч,е,н,о,ADV,КОНЕЧНО,ADV -,О
28700,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28701,,я,Я,SPRO sg 1p - nom,,,", конечно , _я_ понимаю , что",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
28702,,понимаю,ПОНИМАТЬ,V ipf praes sg indic - 1p,,,"конечно , я _понимаю_ , что голоса",ю,а,м,и,н,о,V,ПОНИМАТЬ,V ipf praes sg indic - 1p,Ь
28703,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28704,,что,ЧТО,CONJ,,,"я понимаю , _что_ голоса друг на",о,т,ч,,,,CONJ,ЧТО,CONJ,О
28705,,голоса,ГОЛОС,S m inan nom pl,,,"понимаю , что _голоса_ друг на друга",а,с,о,л,о,г,S,ГОЛОС,S m inan nom pl,С
28706,,друг,ДРУГ,S - - nom sg,,,", что голоса _друг_ на друга наслаиваются",г,у,р,д,,,S,ДРУГ,S - - nom sg,Г
28707,,на,НА,PR,,,что голоса друг _на_ друга наслаиваются и,а,н,,,,,PR,НА,PR,А
28708,,друга,ДРУГ,S - - gen sg,,,голоса друг на _друга_ наслаиваются и дают,а,г,у,р,д,,S,ДРУГ,S - - gen sg,Г
28709,,наслаиваются,НАСЛАИВАТЬСЯ,V ipf praes pl indic - 3p,,,друг на друга _наслаиваются_ и дают какой-то,я,с,т,ю,а,в,V,НАСЛАИВАТЬСЯ,V ipf praes pl indic - 3p,Я
28710,,и,И,CONJ,,,на друга наслаиваются _и_ дают какой-то посл,и,,,,,,CONJ,И,CONJ,И
28711,,дают,ДАВАТЬ,V ipf praes pl indic - 3p,,,друга наслаиваются и _дают_ какой-то посл ...,т,ю,а,д,,,V,ДАВАТЬ,V ipf praes pl indic - 3p,Ь
28712,,какой-то,КАКОЙ-ТО,APRO - acc sg plen m inan,,,наслаиваются и дают _какой-то_ посл ... другой,о,т,-,й,о,к,APRO,КАКОЙ-ТО,A - acc sg plen m inan,О
28713,,посл,ПОСЛ,NONLEX,,,и дают какой-то _посл_ ... другой эффект,л,с,о,п,,,NONLEX,ПОСЛ,NONLEX,Л
28714,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
28715,,другой,ДРУГОЙ,A - acc sg plen m -,,,"какой-то посл ... _другой_ эффект , но",й,о,г,у,р,д,A,ДРУГОЙ,A - nom sg plen m -,Й
28716,,эффект,ЭФФЕКТ,S m inan acc sg,,,"посл ... другой _эффект_ , но ,",т,к,е,ф,ф,э,S,ЭФФЕКТ,S m inan nom sg,Т
28717,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28718,,но,НО,CONJ,,,"другой эффект , _но_ , блин ,",о,н,,,,,CONJ,НО,CONJ,О
28719,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28720,,блин,БЛИН,INTJ,,,", но , _блин_ , это не то",н,и,л,б,,,S,БЛИН,S m inan nom sg,Н
28721,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28722,,это,ЭТО,SPRO n - nom sg,,,", блин , _это_ не то , что",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
28723,,не то,не то,CONJ,,,"блин , это _не то_ , что мне",о,т, ,е,н,,CONJ,не то,CONJ,о
28724,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28725,,что,ЧТО,CONJ,,,"это не то , _что_ мне нравится .",о,т,ч,,,,CONJ,ЧТО,CONJ,О
28726,,мне,Я,SPRO sg 1p - dat,,,"не то , что _мне_ нравится . ",е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
28727,,нравится,НРАВИТЬСЯ,V ipf praes sg indic - 3p,,,", что мне _нравится_ .  ",я,с,т,и,в,а,V,НРАВИТЬСЯ,V ipf praes sg indic - 3p,Я
28728,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
28729,,,,,,,,,,,,,,,,,
28730,# sent = 2109,,,,,,,,,,,,,,,,
28731,,Ещё,ЕЩЕ,ADV -,,,.   _Ещё_ я не могу,ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
28732,,я,Я,SPRO sg 1p - nom,,,  Ещё _я_ не могу в,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
28733,,не,НЕ,PART,,, Ещё я _не_ могу в два,е,н,,,,,PART,НЕ,PART,Е
28734,,могу,МОЧЬ,V ipf praes sg indic - 1p,,,Ещё я не _могу_ в два канала,у,г,о,м,,,V,МОЧЬ,V ipf praes sg indic - 1p,Ь
28735,,в,В,PR,,,я не могу _в_ два канала говорить,в,,,,,,PR,В,PR,В
28736,,два,ДВА,NUM acc m inan,,,не могу в _два_ канала говорить поверх,а,в,д,,,,NUM,ДВА,NUM acc m inan,А
28737,,канала,КАНАЛ,S m inan adnum sg,,,могу в два _канала_ говорить поверх кого-то,а,л,а,н,а,к,S,КАНАЛ,S m inan gen sg,Л
28738,,говорить,ГОВОРИТЬ,V ipf - - inf - -,,,в два канала _говорить_ поверх кого-то .,ь,т,и,р,о,в,V,ГОВОРИТЬ,V ipf - - inf - -,Ь
28739,,поверх,ПОВЕРХ,PR,,,два канала говорить _поверх_ кого-то . ,х,р,е,в,о,п,PR,ПОВЕРХ,PR,Х
28740,,кого-то,КТО-ТО,SPRO m - gen sg,,,канала говорить поверх _кого-то_ .  ,о,т,-,о,г,о,S,КТО-ТО,S m - gen sg,О
28741,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
28742,,,,,,,,,,,,,,,,,
28743,# sent = 2110,,,,,,,,,,,,,,,,
28744,,Так,ТАК,PARENTH,,,".   _Так_ , мне нужно",к,а,т,,,,ADV,ТАК,ADV -,К
28745,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28746,,мне,Я,SPRO sg 1p - dat,,," Так , _мне_ нужно сначала себя",е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
28747,,нужно,НУЖНО,PRAEDIC,,,"Так , мне _нужно_ сначала себя услышать",о,н,ж,у,н,,PRAEDIC,НУЖНО,ADV -,О
28748,,сначала,СНАЧАЛА,ADV -,,,", мне нужно _сначала_ себя услышать ,",а,л,а,ч,а,н,ADV,СНАЧАЛА,ADV -,А
28749,,себя,СЕБЯ,SPRO - - - acc,,,"мне нужно сначала _себя_ услышать , а",я,б,е,с,,,SPRO,СЕБЯ,SPRO - - - acc,Я
28750,,услышать,УСЛЫШАТЬ,V pf - - inf - -,,,"нужно сначала себя _услышать_ , а потом",ь,т,а,ш,ы,л,V,УСЛЫШАТЬ,V pf - - inf - -,Ь
28751,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28752,,а,А,CONJ,,,"себя услышать , _а_ потом услышать то",а,,,,,,CONJ,А,CONJ,А
28753,,потом,ПОТОМ,ADV -,,,"услышать , а _потом_ услышать то ,",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
28754,,услышать,УСЛЫШАТЬ,V pf - - inf - -,,,", а потом _услышать_ то , что",ь,т,а,ш,ы,л,V,УСЛЫШАТЬ,V pf - - inf - -,Ь
28755,,то,ТО,SPRO n - acc sg,,,"а потом услышать _то_ , что происходит",о,т,,,,,SPRO,ТО,S n - acc sg,О
28756,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28757,,что,ЧТО,CONJ,,,"услышать то , _что_ происходит здесь .",о,т,ч,,,,CONJ,ЧТО,CONJ,О
28758,,происходит,ПРОИСХОДИТЬ,V ipf praes sg indic - 3p,,,"то , что _происходит_ здесь . ",т,и,д,о,х,с,V,ПРОИСХОДИТЬ,V ipf praes sg indic - 3p,Ь
28759,,здесь,ЗДЕСЬ,ADV -,,,", что происходит _здесь_ .  ",ь,с,е,д,з,,ADV,ЗДЕСЬ,ADV -,Ь
28760,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
28761,,,,,,,,,,,,,,,,,
28762,# sent = 2111,,,,,,,,,,,,,,,,
28763,,Эммм,ЭМММ,INTJ,,,".   _Эммм_ , ну и",м,м,м,э,,,S,ЭМММ,S n inan loc sg,М
28764,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28765,,ну,НУ,PART,,," Эммм , _ну_ и сериал выглядит",у,н,,,,,PART,НУ,PART,У
